code_system,medcode_id,description
CPRD_medcode,40881000006116,Osteoporosis with pathological fracture of lumbar vertebrae
CPRD_medcode,40891000006118,Osteoporosis with pathological fracture of thoracic vertebrae
CPRD_medcode,14504931000006119,Osteoporotic collapse of lumbar vertebra
CPRD_medcode,14153981000006116,Osteoporotic compression fracture
CPRD_medcode,14509791000006116,Osteoporotic fracture
CPRD_medcode,3253881000006112,Osteoporotic fracture
CPRD_medcode,14501121000006118,Osteoporotic fracture of lumbar vertebra
CPRD_medcode,14501131000006115,Osteoporotic fracture of thoracic vertebra
CPRD_medcode,9383961000006112,Osteoporotic fracture of vertebra
CPRD_medcode,359833013,Osteoporotic vertebral collapse
CPRD_medcode,394586014,Other reduction of fracture of spine
CPRD_medcode,411017011,Other reduction of fracture of spine and stabilisation
